sector,sector_id,year,LP,K,NET,LH
金融・保険業,23,2003,7531.983343,4664.7,1599.122319,298696.89
不動産業,24,2003,30007.34761,233.7,2813.324512,187326.12
専門・科学技術、業務支援サービス業,25,2003,3048.381347,1490.8,1731.596175,958918.74
公務,26,2003,6878.288741,1272,1966.16463,379229.5
教育,27,2003,5720.525852,382.3,1563.997867,310899.74
保健衛生・社会事業,28,2003,3301.818933,1422.4,1258.509537,867497.6
その他のサービス,29,2003,2728.418097,491.9,1260.103662,1003955.37
農林水産業,1,2004,975.5441864,250.4,854.2061796,650211.45
鉱業,2,2004,7718.103041,9,1358.329666,10956.06
食料品,3,2004,4735.388537,346.4,761.5013147,306595.75
繊維製品,4,2004,1491.657715,125.7,822.6352848,142110.35
パルプ・紙・紙加工品,5,2004,4598.930162,55,778.9841999,56993.69
化学,6,2004,11964.59756,928.9,565.9958058,75588
石油・石炭製品,7,2004,101688.6563,174,147.8108348,5388.9
窯業・土石製品,8,2004,4427.338202,56,837.4040626,80147.48
一次金属,9,2004,9431.773784,179.9,343.3173015,88456.32
金属製品,10,2004,3097.651894,188.3,759.64447,197669.08
はん用・生産用・業務用機械,11,2004,4313.392772,691.9,801.4018143,312930
電子部品・デバイス,12,2004,1897.030493,302.3,608.7578322,129354.8
電気機械,13,2004,4004.932934,2671.4,815.4375255,126788.64
情報・通信機器,14,2004,3599.615525,193.2,908.9813104,61028.74
輸送用機械,15,2004,6628.483916,535.2,490.674662,234154.6
その他の製造品,16,2004,2099.834813,770.8,886.4203322,407998.76
電気・ガス・水道・廃棄物処理業,17,2004,17416.46738,223.4,808.5304821,108388.8
建設業,18,2004,2588.301438,384.7,1038.667602,1226282.98
卸売・小売業,19,2004,3790.451323,2719.5,1542.485098,2000885.74
運輸・郵便業,20,2004,3651.890386,949.1,913.906879,782600.16
宿泊・飲食サービス業,21,2004,2966.408505,551,1170.544863,537033.25
情報通信業,22,2004,7960.736922,5092.9,864.1020846,296037.92
金融・保険業,23,2004,7395.390533,4945.8,1668.967416,303240.24
不動産業,24,2004,31478.54609,240.2,2978.412281,181413.08
専門・科学技術、業務支援サービス業,25,2004,3139.191955,1541.5,1820.55675,981940.59
公務,26,2004,7022.568005,1325.5,2066.805083,370945.5
教育,27,2004,5832.772436,407.4,1642.313157,305938.56
保健衛生・社会事業,28,2004,3253.303601,1418.5,1317.451509,907505.22
その他のサービス,29,2004,2558.849796,500.9,1321.267801,1066983.3
農林水産業,1,2005,948.1643175,236.1,884.9009477,666719.88
鉱業,2,2005,8240.129401,9.2,1387.924621,10423.38
食料品,3,2005,4933.124203,365.7,790.9440695,286698.64
繊維製品,4,2005,1518.775358,131.1,856.3816529,127714.74
パルプ・紙・紙加工品,5,2005,5439.565624,57.8,816.0927975,51722.88
化学,6,2005,11192.71884,986.3,591.2330987,80147.64
石油・石炭製品,7,2005,91249.82426,185.9,152.8202408,5832.34
窯業・土石製品,8,2005,4641.207271,58.8,871.6760995,76512.42
一次金属,9,2005,9866.138768,186.4,359.5996562,90744.72
金属製品,10,2005,3440.158429,196.2,792.0376867,194116.06
はん用・生産用・業務用機械,11,2005,4950.157784,763.6,837.9109654,291511.92
電子部品・デバイス,12,2005,2186.396219,288,638.6464167,124968.2
電気機械,13,2005,4182.248715,2834,850.7307167,129294.08
情報・通信機器,14,2005,4385.690477,182.4,942.1373307,56096.07
輸送用機械,15,2005,6759.235476,562.9,515.3820691,257107.48
その他の製造品,16,2005,2196.361613,788.5,929.1029783,396237.12
電気・ガス・水道・廃棄物処理業,17,2005,18081.80014,238.1,835.8066508,110880
建設業,18,2005,2510.867088,416.1,1082.774271,1222227.18
卸売・小売業,19,2005,3880.064066,2912.1,1587.371866,1987129.56
運輸・郵便業,20,2005,3604.258153,968.6,940.3827811,793228.42
宿泊・飲食サービス業,21,2005,2733.844453,580.5,1232.199021,557208
情報通信業,22,2005,7368.105577,5352.6,894.0454587,329060.16
金融・保険業,23,2005,7504.172849,4872.4,1743.558202,306265.6
不動産業,24,2005,32894.43393,250.5,2959.457376,177008.67
専門・科学技術、業務支援サービス業,25,2005,3212.021376,1597.5,1901.115865,1037704.8
公務,26,2005,7070.397624,1291.3,2107.247452,365821.01
教育,27,2005,5863.930916,458.8,1682.789885,305788.05
保健衛生・社会事業,28,2005,3209.886271,1432.5,1380.642659,947756.32
その他のサービス,29,2005,2713.756834,519.2,1375.952295,986934.41
農林水産業,1,2006,973.9055983,215.7,915.6657831,640041.5
鉱業,2,2006,8541.707807,9.6,1410.352952,9722.88
食料品,3,2006,4820.653528,385.5,819.1452182,292062.06
繊維製品,4,2006,1547.484593,136,889.1302684,123833.22
パルプ・紙・紙加工品,5,2006,5075.242659,59.9,853.5132752,52484.19
化学,6,2006,10834.52743,1040.2,612.6836983,84666.36
石油・石炭製品,7,2006,87770.56845,197,158.5049419,6292.77
窯業・土石製品,8,2006,4631.884904,60.9,903.1332956,78786.5
一次金属,9,2006,9890.824513,192,376.4868789,96754.32
金属製品,10,2006,3346.483945,201.8,821.8990903,197344.44
はん用・生産用・業務用機械,11,2006,5132.291756,804.9,870.5756726,304783.92
電子部品・デバイス,12,2006,2436.044497,265.6,664.7075818,127210.32
電気機械,13,2006,4457.362772,2975.2,879.9171599,133381.56
情報・通信機器,14,2006,4927.287953,167.2,965.9657182,57380.45
輸送用機械,15,2006,6459.31728,582.9,538.4349742,272078.29
その他の製造品,16,2006,2092.582625,802.6,970.0790894,400165.8
電気・ガス・水道・廃棄物処理業,17,2006,18040.03247,254.5,855.1807654,111253.68
建設業,18,2006,2535.36056,437.9,1121.644085,1201856.67
卸売・小売業,19,2006,3698.495242,3127,1607.70226,1987051.36
運輸・郵便業,20,2006,3723.078654,1007.4,956.8712474,810823.59
宿泊・飲食サービス業,21,2006,2837.218837,604.6,1292.785865,536610
情報通信業,22,2006,7493.320883,5469.1,913.9762268,330930.71
金融・保険業,23,2006,7568.591568,4785.7,1783.120053,303051.1
不動産業,24,2006,32639.08856,264,2925.640303,182172.06
専門・科学技術、業務支援サービス業,25,2006,3249.348519,1618.1,1946.565184,1096148.96
公務,26,2006,7093.489721,1250.5,2126.460434,366985.8
教育,27,2006,5848.010865,529.1,1710.382431,310409.82
保健衛生・社会事業,28,2006,3147.866725,1398.4,1436.995691,985171.95
その他のサービス,29,2006,2683.112837,527.1,1417.281572,995396.08
農林水産業,1,2007,1055.133399,199.3,940.6470097,627181.36
鉱業,2,2007,7724.4572,10,1422.56046,9867.36
食料品,3,2007,4764.151395,401.1,844.682213,300513.12
繊維製品,4,2007,1579.264667,139.1,915.8937988,121088
パルプ・紙・紙加工品,5,2007,4799.398771,61.1,885.9965644,52346.14
化学,6,2007,11382.25786,1078,629.3335636,81168.43
石油・石炭製品,7,2007,87203.17541,204.9,163.7823596,5892.79
窯業・土石製品,8,2007,5048.059474,61.9,928.9916406,77009.79
一次金属,9,2007,9916.023012,195.6,391.7356703,101565.92
金属製品,10,2007,3261.578408,204.7,846.3146012,199590.48
はん用・生産用・業務用機械,11,2007,5421.641513,825.8,896.3727499,306307.6
電子部品・デバイス,12,2007,2762.459241,242.6,684.8431207,128841.72
電気機械,13,2007,4695.232771,3070.5,902.4711032,135256.34
情報・通信機器,14,2007,5940.42721,154.7,981.8301808,58628.78
輸送用機械,15,2007,6852.856266,596.8,556.8758094,274866.41
その他の製造品,16,2007,2235.121078,807.8,1003.982339,393871.28
電気・ガス・水道・廃棄物処理業,17,2007,16995.15961,267.6,867.6641538,112635.6
建設業,18,2007,2405.510078,453.6,1151.864672,1176378.36
卸売・小売業,19,2007,3598.276289,3331.4,1611.930758,1976788.17
運輸・郵便業,20,2007,3838.718608,1060,964.4280215,815787.85
宿泊・飲食サービス業,21,2007,2851.190173,621.2,1345.998819,539914.88
情報通信業,22,2007,7306.663311,5516,924.6681843,345235.56
金融・保険業,23,2007,7951.143,4666.1,1801.675605,299650
不動産業,24,2007,30511.16237,283.3,2869.153247,194967.99
専門・科学技術、業務支援サービス業,25,2007,3397.247807,1613.3,1971.398063,1125216.71
公務,26,2007,7238.892962,1189,2126.962256,363391.2
教育,27,2007,5979.504134,600.3,1724.05579,306696
保健衛生・社会事業,28,2007,3166.389726,1345,1480.257986,1008195.54
その他のサービス,29,2007,2700.950545,532.8,1444.907572,981554.44
農林水産業,1,2008,1169.293517,185.8,966.1241928,609188.36
鉱業,2,2008,6853.548537,10.3,1444.442399,9707.38
食料品,3,2008,4571.381841,412,868.7509063,295676.46
繊維製品,4,2008,1627.447355,140.6,941.7394214,114006.76
パルプ・紙・紙加工品,5,2008,4886.290008,61.4,915.7245269,49542.7
